,s0_wip,s1_wip,s2_wip,s3_wip,total_wip,finish,state
186,0,0,3,1,4,2,正常
187,0,0,3,1,4,2,正常
188,0,0,3,0,3,3,正常
189,1,0,3,0,4,3,正常
190,0,1,3,0,4,3,正常
191,0,1,3,0,4,3,正常
192,0,0,3,1,4,3,正常
193,0,0,3,1,4,3,正常
194,0,0,3,0,3,4,正常
195,1,0,3,0,4,4,正常
196,0,1,3,0,4,4,正常
197,0,1,3,0,4,4,正常
198,0,0,3,1,4,4,正常
199,0,0,3,1,4,4,正常
200,0,0,3,0,3,5,正常
201,1,0,3,0,4,5,正常
202,0,1,3,0,4,5,正常
203,0,1,3,0,4,5,正常
204,0,0,3,1,4,5,正常
205,1,0,0,0,1,0,正常
206,0,1,0,0,1,0,正常
207,1,1,0,0,2,0,正常
208,0,1,1,0,2,0,正常
209,1,1,1,0,3,0,正常
210,0,1,2,0,3,0,正常
211,1,1,2,0,4,0,正常
212,0,1,3,0,4,0,正常
213,1,1,3,0,5,0,正常
214,0,1,4,0,5,0,正常
215,0,1,3,1,5,0,正常
216,0,0,4,1,5,0,正常
217,0,0,4,0,4,1,正常
218,1,0,4,0,5,1,正常
219,0,1,4,0,5,1,正常
220,0,1,4,0,5,1,正常
221,0,0,4,1,5,1,正常
222,0,0,4,1,5,1,正常
223,0,0,4,0,4,2,正常
224,1,0,4,0,5,2,正常
225,0,1,4,0,5,2,正常
226,0,1,4,0,5,2,正常
227,0,0,4,1,5,2,正常
228,0,0,4,1,5,2,正常
229,0,0,4,0,4,3,正常
230,1,0,4,0,5,3,正常
231,0,1,4,0,5,3,正常
232,0,1,4,0,5,3,正常
233,0,0,4,1,5,3,正常
234,0,0,4,1,5,3,正常
235,0,0,4,0,4,4,正常
236,1,0,4,0,5,4,正常
237,0,1,4,0,5,4,正常
238,0,1,4,0,5,4,正常
239,0,0,4,1,5,4,正常
240,0,0,4,1,5,4,正常
241,0,0,4,0,4,5,正常
242,1,0,4,0,5,5,正常
243,0,1,4,0,5,5,正常
244,0,1,4,0,5,5,正常
245,0,0,4,1,5,5,正常
246,1,0,0,0,1,0,正常
247,0,1,0,0,1,0,正常
248,1,1,0,0,2,0,正常
249,0,1,1,0,2,0,正常
250,1,1,1,0,3,0,正常
251,0,1,2,0,3,0,正常
252,1,1,2,0,4,0,正常
253,0,1,3,0,4,0,正常
254,1,1,3,0,5,0,正常
255,0,1,4,0,5,0,正常
256,1,1,3,1,6,0,正常
257,0,1,4,1,6,0,正常
258,0,1,4,0,5,1,正常
259,1,0,5,0,6,1,正常
260,0,1,5,0,6,1,正常
261,0,1,5,0,6,1,正常
262,0,0,5,1,6,1,正常
263,0,0,5,1,6,1,正常
264,0,0,5,0,5,2,正常
265,1,0,5,0,6,2,正常
266,0,1,5,0,6,2,正常
267,0,1,5,0,6,2,正常
268,0,0,5,1,6,2,正常
269,0,0,5,1,6,2,正常
270,0,0,5,0,5,3,正常
271,1,0,5,0,6,3,正常
272,0,1,5,0,6,3,正常
273,0,1,5,0,6,3,正常
274,0,0,5,1,6,3,正常
275,0,0,5,1,6,3,正常
276,0,0,5,0,5,4,正常
277,1,0,5,0,6,4,正常
278,0,1,5,0,6,4,正常
279,0,1,5,0,6,4,正常
280,0,0,5,1,6,4,正常
281,0,0,5,1,6,4,正常
282,0,0,5,0,5,5,正常
283,1,0,5,0,6,5,正常
284,0,1,5,0,6,5,正常
285,0,1,5,0,6,5,正常
286,0,0,5,1,6,5,正常
287,1,0,0,0,1,0,正常
288,0,1,0,0,1,0,正常
289,1,1,0,0,2,0,正常
290,0,1,1,0,2,0,正常
291,1,1,1,0,3,0,正常
292,0,1,2,0,3,0,正常
293,1,1,2,0,4,0,正常
294,0,1,3,0,4,0,正常
295,1,1,3,0,5,0,正常
296,0,1,4,0,5,0,正常
297,1,1,3,1,6,0,正常
